movie,content,rating,time
秋日奏鸣曲,我宁愿将海莲娜看作是伊娃的潜意识。爱恨交织的极致是一种失语症，能用语言组织起来倾泻的总是带着伪装，伊娃借酒宣泄用言语逼迫母亲时，海莲娜剧烈痛苦地挣扎着，母亲请求原谅伊娃不发一言时海莲娜叫喊着妈妈，过来！母亲逃跑了，伊娃低落沮丧看似平静，海莲娜喘不过气濒临灭绝崩溃，最后喊出的是妈妈,allstar50,2016-12-02 11:16:19
秋日奏鸣曲,褒曼的角色是她自身真实的写照，亦是伯格曼的，这两位瑞典最富盛名并且拥有相同姓氏的伟大艺术家，都为了各自的事业给自己的家庭带来可怕的创伤与疏离，乌尔曼那时也与伯格曼劳燕分飞，由她扮演的女儿，对母亲的爱与恨，在我看来，兼是对伯格曼的。褒曼随罗西里尼浪迹天涯，在好莱坞沉浮多年后终于回到故乡的怀抱，这样一位瑞典巨星，居然是第一次出演瑞典电影，这与影片的“奏鸣曲”结构不谋而合，伯格曼曾说：“我们在年轻时，从父母身边逃开，而后一步步，再回到他们身边，在这一刻，我们长大了。”,allstar40,2008-05-01 15:02:26
秋日奏鸣曲,人需要一辈子来摆脱家庭带来的阴影,allstar40,2009-06-23 16:00:41
秋日奏鸣曲,如果有人真实地爱我 也许我有勇气正视自己,allstar50,2009-07-09 21:17:05
秋日奏鸣曲,人生最无法控制的两件事：自我的才华和出身，从婴儿诞生的那一刻起这二者就以命运的名义形塑着所有悲剧。而在亲情里，所有的解释、呼喊、疯狂、道歉，都是无用的。你的亲属关系，是你“天赋”的重要组成部分。,allstar40,2018-01-07 11:37:59
秋日奏鸣曲,这或许就是我喜欢伯格曼的原因——描述至亲的亲人间的相互折磨。这种折磨以爱的名义进行，将母亲的痛苦变成女儿的痛苦，母亲的失败变成女儿的失败。有时候觉得，家才是最孤单的地方，正是因为共度了最长的时光，才看不清彼此真正的模样。,allstar50,2013-08-23 10:16:33
秋日奏鸣曲,女兒看著母親彈肖邦，她盯著她的臉，那表情在我心上扎了一個又一個窟窿，血噗噗往外冒，真疼。,allstar50,2010-01-17 18:10:18
秋日奏鸣曲,乌曼和褒曼大飚演技不是重点。最温暖的色调，最黯淡的内心。台词简洁、尖锐、直达心灵深处。舞台剧式的独白、眼神与眼神的长镜头，伯格曼一定是痛楚和勇敢到了极点才能拍出这样的电影。不用说太多，一句看到人落泪，足够。,allstar50,2013-04-21 05:37:24
秋日奏鸣曲,我们永远都只能是一个人，即使是与最亲密的人在一起，也会感到痛苦和孤独。,allstar50,2016-08-05 19:29:05
秋日奏鸣曲,姐姐的呼喊（近乎咆哮的控诉）与妹妹的细语（语焉不详的呢喃），后者可视为前者精神上的分身以象征恋母的本性，而伊娃已然只剩下恨意和愤怒；母女的两副假面，母亲生气的时候微笑，叫恨的人“我最亲爱的”，叫厌烦的人“亲爱的小女孩”，以爱的名义施行毁灭，用玫瑰中伤所爱之人，女儿则是佯装快乐，“因为我恨那些属于自己的东西”，一如肖邦之音乐，不露声色的痛苦、短暂的解脱、解脱随即消失痛苦依然；依然是老伯克制冷静下暗流涌动的独幕剧式室内场面调度、振聋发聩且真诚内省得近乎内心独白的问询式台词、直接曝露人物情绪流溢的乃至显得狰狞扭曲面部大特写；尽管主题看似通俗浅白，但结合彼时戏外伯格曼、褒曼、乌曼的人生际遇来看，又添了许多别样的深意。,allstar50,2018-07-25 19:36:30
秋日奏鸣曲,#重看#所有最深的伤害都只会发生在最亲密的人之间，畅谈或忏悔过后，原谅不会发生，一切回到原点，冷漠继续冷漠，沟壑依然沟壑；大块橙色&红色与冰冷苍白的内心戏形成强烈对比，明暗光线&正反打，正面&背影；乌曼演技真好，不愧御用。,allstar50,2013-11-17 22:32:50
